gatherer,date,fruit,amount
Paul,2020-01-08,strawberries,0
Paul,2020-01-08,plums,0
Paul,2020-01-08,pears,0.01
Paul,2020-01-08,tomatoes,0.17
Jason,2020-01-08,apples,0.01
Jason,2020-01-08,oranges,0.03
Jason,2020-01-08,strawberries,0
Jason,2020-01-08,plums,0
Jason,2020-01-08,pears,0.01
Jason,2020-01-08,tomatoes,0.12
Peter,2020-01-08,apples,0
Peter,2020-01-08,oranges,0.18
Peter,2020-01-08,strawberries,0
Peter,2020-01-08,plums,0
Peter,2020-01-08,pears,0.01
Peter,2020-01-08,tomatoes,0.02
John,2020-01-09,apples,0
John,2020-01-09,oranges,0.11
John,2020-01-09,strawberries,0
John,2020-01-09,plums,0
John,2020-01-09,pears,0.02
John,2020-01-09,tomatoes,0.15
Nick,2020-01-09,apples,0.01
Nick,2020-01-09,oranges,0.08
Nick,2020-01-09,strawberries,0
Nick,2020-01-09,plums,0
Nick,2020-01-09,pears,0.01
Nick,2020-01-09,tomatoes,0.08
Rick,2020-01-09,apples,0
Rick,2020-01-09,oranges,0.14
Rick,2020-01-09,strawberries,0
Rick,2020-01-09,plums,0
Rick,2020-01-09,pears,0.01
Rick,2020-01-09,tomatoes,0.18
Dick,2020-01-09,apples,0.01
Dick,2020-01-09,oranges,0.04
Dick,2020-01-09,strawberries,0
Dick,2020-01-09,plums,0
Dick,2020-01-09,pears,0
Dick,2020-01-09,tomatoes,0.11
Jake,2020-01-09,apples,0.01
Jake,2020-01-09,oranges,0.11
Jake,2020-01-09,strawberries,0
Jake,2020-01-09,plums,0
Jake,2020-01-09,pears,0.02
Jake,2020-01-09,tomatoes,0.1
Paul,2020-01-09,apples,0
Paul,2020-01-09,oranges,0.03
Paul,2020-01-09,strawberries,0
Paul,2020-01-09,plums,0
Paul,2020-01-09,pears,0
Paul,2020-01-09,tomatoes,0.07
Jason,2020-01-09,apples,0
Jason,2020-01-09,oranges,0.16
Jason,2020-01-09,strawberries,0
Jason,2020-01-09,plums,0
Jason,2020-01-09,pears,0.01
Jason,2020-01-09,tomatoes,0.1
Peter,2020-01-09,apples,0.01
Peter,2020-01-09,oranges,0.09
Peter,2020-01-09,strawberries,0
Peter,2020-01-09,plums,0
Peter,2020-01-09,pears,0.02
Peter,2020-01-09,tomatoes,0.03
John,2020-01-10,apples,0.01
John,2020-01-10,oranges,0.09
John,2020-01-10,strawberries,0
John,2020-01-10,plums,0
John,2020-01-10,pears,0
John,2020-01-10,tomatoes,0.11
Nick,2020-01-10,apples,0.01
Nick,2020-01-10,oranges,0.22
Nick,2020-01-10,strawberries,0
Nick,2020-01-10,plums,0
Nick,2020-01-10,pears,0.02
Nick,2020-01-10,tomatoes,0.11
Rick,2020-01-10,apples,0
Rick,2020-01-10,oranges,0.11
Rick,2020-01-10,strawberries,0
Rick,2020-01-10,plums,0
Rick,2020-01-10,pears,0.01
Rick,2020-01-10,tomatoes,0.03
Dick,2020-01-10,apples,0
Dick,2020-01-10,oranges,0.1
Dick,2020-01-10,strawberries,0
Dick,2020-01-10,plums,0
Dick,2020-01-10,pears,0.01
Dick,2020-01-10,tomatoes,0.03
Jake,2020-01-10,apples,0.01
Jake,2020-01-10,oranges,0.1
Jake,2020-01-10,strawberries,0
Jake,2020-01-10,plums,0
Jake,2020-01-10,pears,0.02
Jake,2020-01-10,tomatoes,0.12
Paul,2020-01-10,apples,0
Paul,2020-01-10,oranges,0.08
Paul,2020-01-10,strawberries,0
Paul,2020-01-10,plums,0
Paul,2020-01-10,pears,0.01
Paul,2020-01-10,tomatoes,0.07
Jason,2020-01-10,apples,0
Jason,2020-01-10,oranges,0.13
Jason,2020-01-10,strawberries,0
Jason,2020-01-10,plums,0
Jason,2020-01-10,pears,0.01
Jason,2020-01-10,tomatoes,0.07
Peter,2020-01-10,apples,0.01
Peter,2020-01-10,oranges,0.16
Peter,2020-01-10,strawberries,0
Peter,2020-01-10,plums,0
Peter,2020-01-10,pears,0.02
Peter,2020-01-10,tomatoes,0.08
John,2020-01-11,apples,0.01
John,2020-01-11,oranges,0.2
John,2020-01-11,strawberries,0
John,2020-01-11,plums,0
John,2020-01-11,pears,0.02
John,2020-01-11,tomatoes,0.14
Nick,2020-01-11,apples,0.01
Nick,2020-01-11,oranges,0.1
Nick,2020-01-11,strawberries,0
Nick,2020-01-11,plums,0
Nick,2020-01-11,pears,0.02
Nick,2020-01-11,tomatoes,0.1
Rick,2020-01-11,apples,0.01
Rick,2020-01-11,oranges,0.13
Rick,2020-01-11,strawberries,0
Rick,2020-01-11,plums,0
Rick,2020-01-11,pears,0.01
Rick,2020-01-11,tomatoes,0.09
Dick,2020-01-11,apples,0.01
Dick,2020-01-11,oranges,0.1
Dick,2020-01-11,strawberries,0
Dick,2020-01-11,plums,0
Dick,2020-01-11,pears,0.01
Dick,2020-01-11,tomatoes,0.06
Jake,2020-01-11,apples,0.01
Jake,2020-01-11,oranges,0.08
Jake,2020-01-11,strawberries,0
Jake,2020-01-11,plums,0
Jake,2020-01-11,pears,0.01
Jake,2020-01-11,tomatoes,0.07
Paul,2020-01-11,apples,0.01
Paul,2020-01-11,oranges,0.12
Paul,2020-01-11,strawberries,0
Paul,2020-01-11,plums,0
Paul,2020-01-11,pears,0.02
Paul,2020-01-11,tomatoes,0.12
Jason,2020-01-11,apples,0
Jason,2020-01-11,oranges,0.16
Jason,2020-01-11,strawberries,0
Jason,2020-01-11,plums,0
Jason,2020-01-11,pears,0.01
Jason,2020-01-11,tomatoes,0.13
Peter,2020-01-11,apples,0.01
Peter,2020-01-11,oranges,0.13
Peter,2020-01-11,strawberries,0
Peter,2020-01-11,plums,0
Peter,2020-01-11,pears,0.01
Peter,2020-01-11,tomatoes,0.04
John,2020-01-12,apples,0.01
John,2020-01-12,oranges,0.08
John,2020-01-12,strawberries,0
John,2020-01-12,plums,0
John,2020-01-12,pears,0.01
John,2020-01-12,tomatoes,0.15
Nick,2020-01-12,apples,0.01
Nick,2020-01-12,oranges,0.1
Nick,2020-01-12,strawberries,0
Nick,2020-01-12,plums,0
Nick,2020-01-12,pears,0.02
Nick,2020-01-12,tomatoes,0.03
Rick,2020-01-12,apples,0.01
Rick,2020-01-12,oranges,0.13
Rick,2020-01-12,strawberries,0
Rick,2020-01-12,plums,0
Rick,2020-01-12,pears,0.01
Rick,2020-01-12,tomatoes,0.03
Dick,2020-01-12,apples,0.01
Dick,2020-01-12,oranges,0.17
Dick,2020-01-12,strawberries,0
Dick,2020-01-12,plums,0
Dick,2020-01-12,pears,0.02
Dick,2020-01-12,tomatoes,0.12
Jake,2020-01-12,apples,0.01
Jake,2020-01-12,oranges,0.04
Jake,2020-01-12,strawberries,0
Jake,2020-01-12,plums,0
Jake,2020-01-12,pears,0.01
Jake,2020-01-12,tomatoes,0.2
Paul,2020-01-12,apples,0
Paul,2020-01-12,oranges,0.11
Paul,2020-01-12,strawberries,0
Paul,2020-01-12,plums,0
Paul,2020-01-12,pears,0.01
Paul,2020-01-12,tomatoes,0.03
Jason,2020-01-12,apples,0.01
Jason,2020-01-12,oranges,0.09
Jason,2020-01-12,strawberries,0
Jason,2020-01-12,plums,0
Jason,2020-01-12,pears,0.01
Jason,2020-01-12,tomatoes,0.11
Peter,2020-01-12,apples,0.01
Peter,2020-01-12,oranges,0.09
Peter,2020-01-12,strawberries,0
Peter,2020-01-12,plums,0
Peter,2020-01-12,pears,0.01
Peter,2020-01-12,tomatoes,0.17
John,2020-01-13,apples,0
John,2020-01-13,oranges,0.12
John,2020-01-13,strawberries,0
John,2020-01-13,plums,0
John,2020-01-13,pears,0.02
John,2020-01-13,tomatoes,0.15
Nick,2020-01-13,apples,0.01
Nick,2020-01-13,oranges,0.13
Nick,2020-01-13,strawberries,0
Nick,2020-01-13,plums,0
Nick,2020-01-13,pears,0.01
Nick,2020-01-13,tomatoes,0.19
Rick,2020-01-13,apples,0
Rick,2020-01-13,oranges,0.12
Rick,2020-01-13,strawberries,0
Rick,2020-01-13,plums,0
Rick,2020-01-13,pears,0.01
Rick,2020-01-13,tomatoes,0.08
Dick,2020-01-13,apples,0.01
Dick,2020-01-13,oranges,0.12
Dick,2020-01-13,strawberries,0
Dick,2020-01-13,plums,0
Dick,2020-01-13,pears,0.01
Dick,2020-01-13,tomatoes,0.07
Jake,2020-01-13,apples,0
Jake,2020-01-13,oranges,0.14
Jake,2020-01-13,strawberries,0
Jake,2020-01-13,plums,0
Jake,2020-01-13,pears,0.01
Jake,2020-01-13,tomatoes,0.02
Paul,2020-01-13,apples,0.01
Paul,2020-01-13,oranges,0.17
Paul,2020-01-13,strawberries,0
Paul,2020-01-13,plums,0
Paul,2020-01-13,pears,0.01
Paul,2020-01-13,tomatoes,0.15
Jason,2020-01-13,apples,0
Jason,2020-01-13,oranges,0.12
Jason,2020-01-13,strawberries,0
Jason,2020-01-13,plums,0
Jason,2020-01-13,pears,0.02
Jason,2020-01-13,tomatoes,0.05
Peter,2020-01-13,apples,0
Peter,2020-01-13,oranges,0.15
Peter,2020-01-13,strawberries,0
Peter,2020-01-13,plums,0
Peter,2020-01-13,pears,0.01
Peter,2020-01-13,tomatoes,0.19
John,2020-01-14,apples,0.01
John,2020-01-14,oranges,0.17
John,2020-01-14,strawberries,0
John,2020-01-14,plums,0
John,2020-01-14,pears,0.02
John,2020-01-14,tomatoes,0.09
Nick,2020-01-14,apples,0.01
Nick,2020-01-14,oranges,0.12
Nick,2020-01-14,strawberries,0
Nick,2020-01-14,plums,0
Nick,2020-01-14,pears,0.02
Nick,2020-01-14,tomatoes,0.05
Rick,2020-01-14,apples,0.01
Rick,2020-01-14,oranges,0.17
Rick,2020-01-14,strawberries,0
Rick,2020-01-14,plums,0
Rick,2020-01-14,pears,0.01
Rick,2020-01-14,tomatoes,0.1
Dick,2020-01-14,apples,0.01
Dick,2020-01-14,oranges,0.13
Dick,2020-01-14,strawberries,0
Dick,2020-01-14,plums,0
Dick,2020-01-14,pears,0.03
Dick,2020-01-14,tomatoes,0.01
Jake,2020-01-14,apples,0.01
Jake,2020-01-14,oranges,0.1
Jake,2020-01-14,strawberries,0
Jake,2020-01-14,plums,0
Jake,2020-01-14,pears,0.01
Jake,2020-01-14,tomatoes,0.06
Paul,2020-01-14,apples,0.01
Paul,2020-01-14,oranges,0.1
Paul,2020-01-14,strawberries,0
Paul,2020-01-14,plums,0
Paul,2020-01-14,pears,0.02
Paul,2020-01-14,tomatoes,0.06
Jason,2020-01-14,apples,0.01
Jason,2020-01-14,oranges,0.13
Jason,2020-01-14,strawberries,0
Jason,2020-01-14,plums,0
Jason,2020-01-14,pears,0
Jason,2020-01-14,tomatoes,0.03
Peter,2020-01-14,apples,0
Peter,2020-01-14,oranges,0.08
Peter,2020-01-14,strawberries,0
Peter,2020-01-14,plums,0
Peter,2020-01-14,pears,0.01
Peter,2020-01-14,tomatoes,0.06
John,2020-01-15,apples,0.01
John,2020-01-15,oranges,0.14
John,2020-01-15,strawberries,0
John,2020-01-15,plums,0
John,2020-01-15,pears,0.02
John,2020-01-15,tomatoes,0.12
Nick,2020-01-15,apples,0
Nick,2020-01-15,oranges,0.14
Nick,2020-01-15,strawberries,0
Nick,2020-01-15,plums,0
Nick,2020-01-15,pears,0
Nick,2020-01-15,tomatoes,0.11
Rick,2020-01-15,apples,0
Rick,2020-01-15,oranges,0.11
Rick,2020-01-15,strawberries,0
Rick,2020-01-15,plums,0
Rick,2020-01-15,pears,0
Rick,2020-01-15,tomatoes,0.1
Dick,2020-01-15,apples,0
Dick,2020-01-15,oranges,0.07
Dick,2020-01-15,strawberries,0.01
Dick,2020-01-15,plums,0
Dick,2020-01-15,pears,0.01
Dick,2020-01-15,tomatoes,0.16
Jake,2020-01-15,apples,0.01
Jake,2020-01-15,oranges,0.11
Jake,2020-01-15,strawberries,0
Jake,2020-01-15,plums,0
Jake,2020-01-15,pears,0
Jake,2020-01-15,tomatoes,0.1
Paul,2020-01-15,apples,0.01
Paul,2020-01-15,oranges,0.09
Paul,2020-01-15,strawberries,0
Paul,2020-01-15,plums,0
Paul,2020-01-15,pears,0.02
Paul,2020-01-15,tomatoes,0.1
Jason,2020-01-15,apples,0.01
Jason,2020-01-15,oranges,0.11
Jason,2020-01-15,strawberries,0
Jason,2020-01-15,plums,0
Jason,2020-01-15,pears,0.02
Jason,2020-01-15,tomatoes,0.11
Peter,2020-01-15,apples,0.01
Peter,2020-01-15,oranges,0.1
Peter,2020-01-15,strawberries,0
Peter,2020-01-15,plums,0
Peter,2020-01-15,pears,0.03
Peter,2020-01-15,tomatoes,0.08
John,2020-01-16,apples,0
John,2020-01-16,oranges,0.13
John,2020-01-16,strawberries,0
John,2020-01-16,plums,0
John,2020-01-16,pears,0.02
John,2020-01-16,tomatoes,0.09
Nick,2020-01-16,apples,0.01
Nick,2020-01-16,oranges,0.14
Nick,2020-01-16,strawberries,0
Nick,2020-01-16,plums,0
Nick,2020-01-16,pears,0.02
Nick,2020-01-16,tomatoes,0.07
Rick,2020-01-16,apples,0.01
Rick,2020-01-16,oranges,0.13
Rick,2020-01-16,strawberries,0
Rick,2020-01-16,plums,0
Rick,2020-01-16,pears,0.01
Rick,2020-01-16,tomatoes,0.03
Dick,2020-01-16,apples,0.01
Dick,2020-01-16,oranges,0.09
Dick,2020-01-16,strawberries,0
Dick,2020-01-16,plums,0
Dick,2020-01-16,pears,0
Dick,2020-01-16,tomatoes,0.08
Jake,2020-01-16,apples,0
Jake,2020-01-16,oranges,0.07
Jake,2020-01-16,strawberries,0
Jake,2020-01-16,plums,0
Jake,2020-01-16,pears,0.01
Jake,2020-01-16,tomatoes,0.13
Paul,2020-01-16,apples,0.01
Paul,2020-01-16,oranges,0.12
Paul,2020-01-16,strawberries,0
Paul,2020-01-16,plums,0
Paul,2020-01-16,pears,0.02
Paul,2020-01-16,tomatoes,0.09
Jason,2020-01-16,apples,0.01
Jason,2020-01-16,oranges,0.13
Jason,2020-01-16,strawberries,0
Jason,2020-01-16,plums,0
Jason,2020-01-16,pears,0.01
Jason,2020-01-16,tomatoes,0.06
Peter,2020-01-16,apples,0.01
Peter,2020-01-16,oranges,0.13
Peter,2020-01-16,strawberries,0
Peter,2020-01-16,plums,0
Peter,2020-01-16,pears,0.01
Peter,2020-01-16,tomatoes,0.14
John,2020-01-17,apples,0.01
John,2020-01-17,oranges,0.17
John,2020-01-17,strawberries,0
John,2020-01-17,plums,0
John,2020-01-17,pears,0.01
John,2020-01-17,tomatoes,0.12
Nick,2020-01-17,apples,0.01
Nick,2020-01-17,oranges,0.1
Nick,2020-01-17,strawberries,0
Nick,2020-01-17,plums,0
Nick,2020-01-17,pears,0.02
Nick,2020-01-17,tomatoes,0
